Cage,Trial,Block,Treatment,DaysToP
1,3,1,Same1,26
1,1,1,Opp1,30
1,2,1,Opp1,28
1,3,1,Same2,28
1,1,1,Opp2,31
1,2,1,Opp2,28
2,3,1,Opp1,25
2,3,1,Opp2,26
3,1,1,Control,31
3,2,1,Control,26
3,3,1,Control,27
5,1,1,Control,31
5,3,1,Control,23
5,2,1,Opp1,26
5,2,1,Opp2,26
6,2,1,Control,28
7,1,1,Same1,32
7,1,1,Same2,32
8,3,1,Control,28
8,2,1,Opp1,26
8,2,1,Opp2,26
9,2,1,Control,23
9,3,1,Same1,27
9,3,1,Same2,28
10,1,2,Control,29
11,3,2,Same1,26
11,3,2,Same2,27
12,1,2,Control,33
12,3,2,Control,26
12,2,2,Same1,24
12,2,2,Same2,28
13,2,2,Control,29
13,1,2,Opp1,31
13,1,2,Opp2,32
14,2,2,Control,34
15,3,2,Opp1,25
15,3,2,Opp2,29
16,1,2,Control,32
16,2,2,Opp1,28
16,2,2,Opp2,28
17,3,2,Control,28
17,1,2,Same1,31
17,1,2,Same2,31
18,1,2,Same1,29
18,2,2,Same1,26
18,3,2,Opp1,25
18,1,2,Same2,31
18,2,2,Same2,28
18,3,3,Opp2,25
19,1,3,Control,32
19,3,3,Same1,26
19,3,3,Same2,27
21,2,3,Control,26
21,1,3,Same1,29
21,3,3,Opp1,25
21,1,3,Same2,30
21,3,3,Opp2,26
22,1,3,Control,31
22,3,3,Opp1,25
22,3,3,Opp2,26
23,3,3,Control,26
23,1,3,Opp1,29
23,1,3,Opp2,30
24,3,3,Control,23
24,1,3,Opp1,29
24,1,3,Opp2,31
25,3,3,Control,23
25,1,3,Same1,28
25,1,3,Same2,29
26,1,3,Same1,31
26,2,3,Opp1,26
26,3,3,Opp1,25
26,1,3,Same2,31
26,2,3,Opp2,26
26,3,3,Opp2,25
27,1,3,Control,29
27,2,3,Control,28
27,3,3,Same1,25
27,3,3,Same2,26
28,1,4,Control,31
28,2,4,Control,28
29,1,4,Control,31
29,3,4,Control,28
29,2,4,Same1,26
29,2,4,Same2,28
30,1,4,Same1,29
30,2,4,Same1,26
30,1,4,Same2,30
30,2,4,Same2,28
31,2,4,Control,28
31,3,4,Control,25
31,1,4,Opp1,29
31,1,4,Opp2,29
32,2,4,Control,25
32,1,4,Same1,29
32,3,4,Opp1,24
32,1,4,Same2,32
32,3,4,Opp2,26
33,1,4,Opp1,29
33,2,4,Opp1,24
33,1,4,Opp2,30
33,2,4,Opp2,24
34,1,4,Same1,29
34,3,4,Same1,23
34,1,4,Same2,29
34,3,4,Same2,25
35,2,4,Same1,26
35,1,4,Opp1,30
35,2,4,Same2,28
35,1,4,Opp2,31
36,1,4,Control,31
36,3,4,Control,24
37,3,5,Control,25
37,1,5,Same1,30
37,1,5,Same2,31
38,1,5,Control,30
38,3,5,Opp1,25
38,3,5,Opp2,26
39,1,5,Control,29
39,2,5,Control,24
39,3,5,Same1,22
39,3,5,Same2,23
40,1,5,Same1,29
40,1,5,Same2,29
41,2,5,Control,26
41,1,5,Same1,29
41,1,5,Same2,30
42,3,5,Same1,25
42,3,5,Same2,26
43,1,5,Control,27
43,2,5,Same1,26
43,3,5,Opp1,25
43,2,5,Same2,28
43,3,5,Opp2,27
44,3,5,Control,26
44,1,5,Same1,30
44,1,5,Same2,31
45,1,5,Opp1,29
45,2,5,Opp1,26
45,1,5,Opp2,31
45,2,5,Opp2,26
46,2,6,Control,25
47,1,6,Same1,27
47,3,6,Same1,25
47,1,6,Same2,30
47,3,6,Same2,25
48,1,6,Opp1,29
48,3,6,Opp1,23
48,1,6,Opp2,30
48,3,6,Opp2,25
49,2,6,Same1,24
49,1,6,Opp1,30
49,2,6,Same2,24
49,1,6,Opp2,32
50,3,6,Same1,25
50,2,6,Opp1,24
50,3,6,Same2,26
50,2,6,Opp2,24
51,1,6,Control,37
51,3,6,Control,25
52,3,6,Same1,24
52,2,6,Opp1,26
52,3,6,Same2,25
52,2,6,Opp2,28
53,1,6,Control,32
54,2,6,Same1,24
54,1,6,Opp1,31
54,2,6,Same2,26
54,1,6,Opp2,32
