Year,Trial ,Block,NumPlants,ID,Instar,Survive
2017,1,1,4,1,6,1
2017,1,1,3,2,6,1
2017,1,1,2,3,6,1
2017,1,1,3,4,6,1
2017,1,1,4,5,6,1
2017,1,1,3,6,2,0
2017,1,1,2,7,4,0
2017,1,1,4,8,1,0
2017,1,1,2,9,6,1
2017,1,2,4,10,6,1
2017,1,2,2,11,6,1
2017,1,2,2,12,6,1
2017,1,2,3,13,6,1
2017,1,2,4,14,4,0
2017,1,2,2,15,6,1
2017,1,2,3,16,4,0
2017,1,2,3,17,4,0
2017,1,2,4,18,1,0
2017,1,3,3,19,6,1
2017,1,3,4,20,2,0
2017,1,3,2,21,6,1
2017,1,3,4,22,3,0
2017,1,3,3,23,6,1
2017,1,3,2,24,6,1
2017,1,3,4,25,6,1
2017,1,3,2,26,6,1
2017,1,3,3,27,1,0
2017,2,1,3,1,1,0
2017,2,1,4,2,6,1
2017,2,1,3,3,6,1
2017,2,1,4,4,6,1
2017,2,1,2,5,6,1
2017,2,1,4,6,1,0
2017,2,1,3,7,6,1
2017,2,1,2,8,1,0
2017,2,1,2,9,6,1
2017,2,2,2,10,6,1
2017,2,2,4,11,6,1
2017,2,2,3,12,3,0
2017,2,2,2,13,5,0
2017,2,2,2,14,6,1
2017,2,2,4,15,6,1
2017,2,2,4,16,6,1
2017,2,2,3,17,6,1
2017,2,2,3,18,2,0
2017,2,3,3,19,4,0
2017,2,3,4,20,6,1
2017,2,3,2,21,6,1
2017,2,3,3,22,6,1
2017,2,3,3,23,4,0
2017,2,3,2,24,6,1
2017,2,3,4,25,6,1
2017,2,3,2,26,6,1
2017,2,3,4,27,6,1
2017,3,1,4,1,3,0
2017,3,1,3,2,6,1
2017,3,1,2,3,6,1
2017,3,1,3,4,5,0
2017,3,1,2,5,6,1
2017,3,1,2,6,6,1
2017,3,1,3,7,6,1
2017,3,1,4,8,6,1
2017,3,1,4,9,2,0
2017,3,2,3,10,5,0
2017,3,2,2,11,2,0
2017,3,2,4,12,6,1
2017,3,2,2,13,6,1
2017,3,2,3,14,6,1
2017,3,2,4,15,6,1
2017,3,2,4,16,6,1
2017,3,2,2,17,6,1
2017,3,2,3,18,6,1
2017,3,3,4,19,6,1
2017,3,3,4,20,6,1
2017,3,3,3,21,6,1
2017,3,3,4,22,6,1
2017,3,3,2,23,6,1
2017,3,3,2,24,6,1
2017,3,3,2,25,6,1
2017,3,3,3,26,6,1
2017,3,3,3,27,1,0
2017,4,1,2,1,6,1
2017,4,1,3,2,6,1
2017,4,1,4,3,6,1
2017,4,1,4,4,6,1
2017,4,1,4,5,6,1
2017,4,1,2,6,6,1
2017,4,1,2,7,6,1
2017,4,1,3,8,6,1
2017,4,1,3,9,1,0
2017,4,2,2,10,6,1
2017,4,2,3,11,6,1
2017,4,2,4,12,6,1
2017,4,2,3,13,6,1
2017,4,2,3,14,6,1
2017,4,2,2,15,4,0
2017,4,2,4,16,6,1
2017,4,2,2,17,6,1
2017,4,2,4,18,6,1
2017,4,3,3,19,6,1
2017,4,3,4,20,6,1
2017,4,3,4,21,6,1
2017,4,3,3,22,6,1
2017,4,3,3,23,4,0
2017,4,3,2,24,5,0
2017,4,3,2,25,6,1
2017,4,3,4,26,6,1
2017,4,3,2,27,6,1
2018,5,1,4,2,6,1
2018,5,1,4,4,1,0
2018,5,1,4,5,6,1
2018,5,2,4,11,6,1
2018,5,2,4,13,1,0
2018,5,2,4,16,3,0
2018,5,3,4,19,1,0
2018,5,3,4,22,3,0
2018,5,3,4,27,6,1
2018,6,1,4,2,6,1
2018,6,1,4,8,2,0
2018,6,1,4,9,4,0
2018,6,2,4,12,6,1
2018,6,2,4,16,1,0
2018,6,2,4,17,2,0
2018,6,3,4,21,1,0
2018,6,3,4,23,6,1
2018,6,3,4,25,6,1
2018,6,4,4,29,6,1
2018,6,4,4,30,6,1
2018,6,4,4,32,3,0
2018,6,5,4,37,6,1
2018,6,5,4,42,6,1
2018,6,5,4,44,2,0
2018,6,6,4,50,6,1
2018,6,6,4,51,6,1
2018,6,6,4,52,6,1
2018,6,7,4,57,1,0
2018,6,7,4,61,1,0
2018,6,7,4,62,2,0
2018,6,8,4,66,2,0
2018,6,8,4,70,6,1
2018,6,8,4,71,4,0
2018,6,9,4,76,1,0
2018,6,9,4,77,6,1
2018,6,9,4,78,3,0
2018,7,1,4,2,6,1
2018,7,1,4,7,5,0
2018,7,1,4,9,6,1
2018,7,3,4,16,6,1
2018,7,3,4,17,6,1
2018,7,3,4,18,6,1
2018,7,4,4,19,2,0
2018,7,4,4,20,6,1
2018,7,4,4,24,2,0
2018,7,6,4,30,6,1
2018,7,6,4,31,6,1
2018,7,6,4,32,2,0
