Year,Trial,ID,Plants,AM,PM
2017,1,1,4,3,2
2017,1,2,3,2,1
2017,1,3,2,2,2
2017,1,4,3,2,2
2017,1,5,4,2,4
2017,1,9,2,0,4
2017,1,10,4,0,2
2017,1,11,2,0,1
2017,1,12,2,0,2
2017,1,13,3,1,3
2017,1,15,2,1,4
2017,1,19,3,4,4
2017,1,21,2,2,2
2017,1,23,3,2,3
2017,1,25,4,2,1
2017,1,26,2,3,3
2017,2,2,4,1,1
2017,2,3,3,2,3
2017,2,4,4,1,2
2017,2,5,2,2,5
2017,2,7,3,0,3
2017,2,9,2,1,2
2017,2,10,2,3,3
2017,2,11,4,0,2
2017,2,14,2,2,4
2017,2,15,4,1,5
2017,2,16,4,0,1
2017,2,17,3,1,2
2017,2,20,4,3,5
2017,2,21,2,1,0
2017,2,22,3,2,2
2017,2,24,2,3,2
2017,2,25,4,1,1
2017,2,26,2,2,1
2017,3,2,3,1,3
2017,3,3,2,0,2
2017,3,5,2,1,1
2017,3,6,2,0,3
2017,3,7,3,0,1
2017,3,8,4,1,2
2017,3,12,4,1,2
2017,3,13,2,1,2
2017,3,14,3,1,3
2017,3,15,4,0,1
2017,3,16,4,0,2
2017,3,17,2,2,3
2017,3,18,3,1,2
2017,3,19,4,2,1
2017,3,20,4,2,1
2017,3,21,3,1,2
2017,3,22,4,2,1
2017,3,23,2,2,1
2017,3,24,2,1,1
2017,3,25,2,0,2
2017,3,26,3,2,1
2017,4,1,2,0,3
2017,4,2,3,1,4
2017,4,3,4,1,1
2017,4,4,4,0,3
2017,4,5,4,0,1
2017,4,6,2,4,2
2017,4,7,2,2,4
2017,4,10,2,1,4
2017,4,11,3,1,4
2017,4,12,4,1,2
2017,4,13,3,0,3
2017,4,14,3,0,1
2017,4,16,4,2,4
2017,4,17,2,0,2
2017,4,18,4,2,5
2017,4,19,3,1,1
2017,4,20,4,2,5
2017,4,21,4,0,3
2017,4,22,3,2,2
2017,4,25,2,0,2
2017,4,26,4,0,4
2017,4,27,2,2,2
2018,5,2,4,1,0
2018,5,5,4,2,1
2018,5,11,4,0,1
2018,5,27,4,2,1
2018,6,2,4,2,0
2018,6,12,4,3,2
2018,6,23,4,1,1
2018,6,25,4,1,4
2018,6,29,4,3,2
2018,6,30,4,2,1
2018,6,37,4,3,1
2018,6,42,4,0,4
2018,6,50,4,2,4
2018,6,51,4,1,1
2018,6,52,4,3,4
2018,6,70,4,2,4
2018,6,77,4,3,2
2018,7,2,4,2,3
2018,7,9,4,1,4
2018,7,16,4,2,1
2018,7,17,4,1,3
2018,7,18,4,1,1
2018,7,20,4,2,1
2018,7,30,4,5,2
2018,7,31,4,1,1
