Year,Trial,ID,Block,NumPlants,TimesObs,Leaves,MoveInstar,RelLeaves,ArcSineLeaves
2018,5,1,1,2,12,5,4,0.416666667,0.701674124
2018,5,2,1,4,21,9,5,0.428571429,0.713724379
2018,5,5,1,4,7,3,4,0.428571429,0.713724379
2018,5,6,1,2,20,15,5,0.75,1.047197551
2018,5,7,1,3,11,7,4,0.636363636,0.923511479
2018,5,8,1,3,11,6,4,0.545454545,0.830915552
2018,5,9,1,3,10,4,4,0.4,0.684719203
2018,5,10,2,3,14,6,4,0.428571429,0.713724379
2018,5,11,2,4,20,13,5,0.65,0.93774449
2018,5,15,2,2,10,6,4,0.6,0.886077124
2018,5,17,2,2,19,11,5,0.578947368,0.864677304
2018,5,18,2,3,13,6,4,0.461538462,0.746898593
2018,5,20,3,3,9,4,4,0.444444444,0.729727656
2018,5,21,3,3,22,22,5,1,1.570796327
2018,5,23,3,2,20,11,5,0.55,0.835481874
2018,5,24,3,2,16,20,5,1.25,#NUM!
2018,5,25,3,3,6,3,3,0.5,0.785398163
2018,5,26,3,2,17,8,5,0.470588235,0.75596941
2018,5,27,3,4,17,5,5,0.294117647,0.573203309
2018,6,2,1,4,23,9,5,0.391304348,0.675827634
2018,6,5,1,3,13,7,4,0.538461538,0.823897734
2018,6,7,1,2,12,9,4,0.75,1.047197551
2018,6,11,2,3,12,5,4,0.416666667,0.701674124
2018,6,12,2,4,9,7,3,0.777777778,1.079913649
2018,6,14,2,3,10,4,4,0.4,0.684719203
2018,6,19,3,2,5,3,2,0.6,0.886077124
2018,6,20,3,3,7,2,2,0.285714286,0.563942641
2018,6,22,3,3,9,3,3,0.333333333,0.615479709
2018,6,23,3,4,15,10,5,0.666666667,0.955316618
2018,6,25,3,4,12,4,4,0.333333333,0.615479709
2018,6,26,3,2,5,4,2,0.8,1.107148718
2018,6,28,4,2,12,6,4,0.5,0.785398163
2018,6,29,4,4,11,8,4,0.727272727,1.021329082
2018,6,33,4,3,12,3,4,0.25,0.523598776
2018,6,34,4,2,16,2,5,0.125,0.361367124
2018,6,36,4,2,7,7,2,1,1.570796327
2018,6,37,5,4,7,1,3,0.142857143,0.387596687
2018,6,38,5,3,12,1,4,0.083333333,0.292842772
2018,6,39,5,2,14,6,4,0.428571429,0.713724379
2018,6,40,5,2,15,8,4,0.533333333,0.818756238
2018,6,42,5,4,12,5,4,0.416666667,0.701674124
2018,6,45,5,3,5,3,2,0.6,0.886077124
2018,6,47,6,3,12,5,4,0.416666667,0.701674124
2018,6,50,6,4,7,3,3,0.428571429,0.713724379
2018,6,52,6,4,5,4,2,0.8,1.107148718
2018,6,53,6,3,8,2,3,0.25,0.523598776
2018,6,54,6,3,9,6,4,0.666666667,0.955316618
2018,6,55,7,3,9,2,3,0.222222222,0.490882678
2018,6,56,7,3,6,3,3,0.5,0.785398163
2018,6,58,7,3,19,5,5,0.263157895,0.538663466
2018,6,60,7,2,7,3,3,0.428571429,0.713724379
2018,6,67,8,2,10,6,3,0.6,0.886077124
2018,6,69,8,3,9,4,3,0.444444444,0.729727656
2018,6,70,8,4,12,12,4,1,1.570796327
2018,6,73,9,2,12,7,4,0.583333333,0.869122203
2018,6,77,9,4,13,6,4,0.461538462,0.746898593
2018,6,79,9,3,8,3,3,0.375,0.659058036
2018,6,80,9,3,12,7,4,0.583333333,0.869122203
2018,7,1,1,2,9,5,4,0.555555556,0.841068671
2018,7,2,1,4,14,7,4,0.5,0.785398163
2018,7,3,1,2,14,3,4,0.214285714,0.481275374
2018,7,5,1,3,6,3,2,0.5,0.785398163
2018,7,9,1,4,6,4,2,0.666666667,0.955316618
2018,7,11,3,2,11,9,4,0.818181818,1.130285664
2018,7,12,3,3,18,12,5,0.666666667,0.955316618
2018,7,13,3,3,14,7,4,0.5,0.785398163
2018,7,15,3,2,16,9,4,0.5625,0.848062079
2018,7,16,3,4,14,2,4,0.142857143,0.387596687
2018,7,17,3,4,8,7,3,0.875,1.209429203
2018,7,18,3,4,21,6,5,0.285714286,0.563942641
2018,7,20,4,4,18,14,5,0.777777778,1.079913649
2018,7,21,4,3,17,10,5,0.588235294,0.874097966
2018,7,22,4,3,13,6,4,0.461538462,0.746898593
2018,7,23,4,3,15,4,4,0.266666667,0.542639102
2018,7,26,4,2,12,6,4,0.5,0.785398163
2018,7,28,6,2,15,7,4,0.466666667,0.752040089
2018,7,30,6,4,10,5,3,0.5,0.785398163
2018,7,31,6,4,18,10,5,0.555555556,0.841068671
2018,7,33,6,2,13,8,4,0.615384615,0.901832253
