Year,Trial,ID,NumPlants,InstarAtMvt,Molting
2018,1,1,2,2,0
2018,1,2,4,1.5,1
2018,1,5,4,4,0
2018,1,6,2,2,0
2018,1,7,3,3,0
2018,1,9,3,4,0
2018,1,10,3,4,0
2018,1,11,4,2.5,1
2018,1,15,2,4,0
2018,1,17,2,2,0
2018,1,18,3,2,0
2018,1,20,3,4,0
2018,1,21,3,2.5,1
2018,1,23,2,3,0
2018,1,24,2,4,0
2018,1,25,3,3,0
2018,1,26,2,3,0
2018,1,27,4,2,0
2018,2,2,4,3,0
2018,2,5,3,4,0
2018,2,7,2,2,0
2018,2,11,3,4,0
2018,2,12,4,1.5,1
2018,2,12,4,5,0
2018,2,14,3,3.5,1
2018,2,19,2,1.5,1
2018,2,20,3,2.5,1
2018,2,22,3,1.5,1
2018,2,23,4,3,0
2018,2,25,4,3,0
2018,2,26,2,2.5,1
2018,2,28,2,3.5,1
2018,2,29,4,2.5,1
2018,2,30,4,4,0
2018,2,33,3,4,0
2018,2,34,2,2.5,1
2018,2,36,2,2,0
2018,2,37,4,3,0
2018,2,38,3,4,0
2018,2,39,2,2,0
2018,2,40,2,3.5,1
2018,2,41,2,2.5,1
2018,2,42,4,3.5,1
2018,2,43,3,3.5,1
2018,2,45,3,2.5,1
2018,2,47,3,1.5,1
2018,2,50,4,3,0
2018,2,51,4,3,0
2018,2,52,4,3,0
2018,2,53,3,1.5,1
2018,2,54,3,2.5,1
2018,2,55,3,3.5,1
2018,2,56,3,3,0
2018,2,58,3,4,0
2018,2,58,3,4,0
2018,2,58,3,5,0
2018,2,58,3,5,0
2018,2,58,3,5,0
2018,2,60,2,3,0
2018,2,67,2,1.5,1
2018,2,67,2,2,0
2018,2,67,2,3,0
2018,2,67,2,3.5,1
2018,2,69,3,1,0
2018,2,69,3,2,0
2018,2,69,3,2.5,1
2018,2,69,3,3,0
2018,2,69,3,3,0
2018,2,69,3,3,0
2018,2,69,3,3.5,1
2018,2,70,4,3,0
2018,2,70,4,3,0
2018,2,70,4,3,0
2018,2,70,4,4,0
2018,2,70,4,4.5,1
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,70,4,5,0
2018,2,72,3,3.5,1
2018,2,72,3,4,0
2018,2,72,3,4.5,1
2018,2,72,3,5,0
2018,2,73,2,3,0
2018,2,73,2,4,0
2018,2,73,2,4,0
2018,2,73,2,4.5,1
2018,2,77,4,4,0
2018,2,77,4,4,0
2018,2,77,4,4,0
2018,2,77,4,4.5,1
2018,2,77,4,5,0
2018,2,77,4,5,0
2018,2,77,4,5,0
2018,2,77,4,5.5,1
2018,2,79,3,1.5,1
2018,2,79,3,2,0
2018,2,79,3,3.5,1
2018,2,80,3,3.5,1
2018,2,80,3,4,0
2018,2,80,3,4.5,1
2018,3,1,2,1.5,1
2018,3,1,2,4,0
2018,3,2,4,1.5,1
2018,3,2,4,2,0
2018,3,2,4,2,0
2018,3,2,4,3,0
2018,3,2,4,4,0
2018,3,2,4,4,0
2018,3,2,4,5,0
2018,3,2,4,5,0
2018,3,2,4,5,0
2018,3,2,4,5,0
2018,3,2,4,5.5,1
2018,3,3,2,2,0
2018,3,3,2,2.5,1
2018,3,3,2,4,0
2018,3,3,2,4.5,1
2018,3,5,3,2.5,1
2018,3,5,3,2.5,1
2018,3,9,4,1,0
2018,3,9,4,1,0
2018,3,9,4,1.5,1
2018,3,9,4,2,0
2018,3,9,4,2,0
2018,3,9,4,2.5,1
2018,3,9,4,4.5,1
2018,3,9,4,5,0
2018,3,9,4,5,0
2018,3,9,4,5,0
2018,3,9,4,5,0
2018,3,9,4,5,0
2018,3,11,2,2,0
2018,3,11,2,3,0
2018,3,11,2,3.5,1
2018,3,11,2,4,0
2018,3,11,2,4,0
2018,3,12,3,2,0
2018,3,12,3,2,0
2018,3,12,3,2.5,1
2018,3,12,3,3,0
2018,3,12,3,3.5,1
2018,3,12,3,4,0
2018,3,12,3,4.5,1
2018,3,12,3,5,0
2018,3,12,3,5,0
2018,3,12,3,5,0
2018,3,13,3,2,0
2018,3,13,3,2.5,1
2018,3,13,3,3,0
2018,3,13,3,4,0
2018,3,13,3,4,0
2018,3,13,3,4,0
2018,3,13,3,4.5,1
2018,3,15,2,1,0
2018,3,15,2,2.5,1
2018,3,15,2,3,0
2018,3,15,2,3.5,1
2018,3,15,2,3.5,1
2018,3,15,2,4,0
2018,3,15,2,4,0
2018,3,15,2,4,0
2018,3,16,4,4,0
2018,3,16,4,5,0
2018,3,16,4,5,0
2018,3,16,4,5.5,1
2018,3,17,4,3,0
2018,3,17,4,4,0
2018,3,17,4,4.5,1
2018,3,17,4,5,0
2018,3,17,4,5,0
2018,3,17,4,5,0
2018,3,17,4,5.5,1
2018,3,18,4,4.5,1
2018,3,18,4,5,0
2018,3,18,4,5,0
2018,3,18,4,5,0
2018,3,18,4,5.5,1
2018,3,20,4,2.5,1
2018,3,20,4,3,0
2018,3,20,4,4,0
2018,3,20,4,4,0
2018,3,20,4,5,0
2018,3,20,4,5,0
2018,3,20,4,5,0
2018,3,20,4,5,0
2018,3,21,3,2,0
2018,3,21,3,2,0
2018,3,21,3,2.5,1
2018,3,21,3,3,0
2018,3,21,3,3.5,1
2018,3,21,3,4,0
2018,3,21,3,4,0
2018,3,21,3,4.5,1
2018,3,21,3,4.5,1
2018,3,21,3,5,0
2018,3,21,3,5,0
2018,3,22,3,2,0
2018,3,22,3,2.5,1
2018,3,22,3,2.5,1
2018,3,22,3,3,0
2018,3,22,3,3.5,1
2018,3,22,3,4,0
2018,3,22,3,4,0
2018,3,23,3,4.5,1
2018,3,26,2,2,0
2018,3,26,2,3,0
2018,3,26,2,3.5,1
2018,3,26,2,4,0
2018,3,28,2,1.5,1
2018,3,28,2,2,0
2018,3,28,2,2.5,1
2018,3,28,2,3,0
2018,3,28,2,3.5,1
2018,3,28,2,4,0
2018,3,28,2,4.5,1
2018,3,30,4,2,0
2018,3,30,4,2.5,1
2018,3,30,4,2.5,1
2018,3,30,4,3.5,1
2018,3,30,4,3.5,1
2018,3,30,4,4,0
2018,3,30,4,4,0
2018,3,30,4,4,0
2018,3,30,4,5,0
2018,3,30,4,5,0
2018,3,30,4,5,0
2018,3,30,4,5.5,1
2018,3,31,4,2.5,1
2018,3,31,4,3,0
2018,3,31,4,4,0
2018,3,31,4,4,0
2018,3,31,4,5,0
2018,3,31,4,5,0
2018,3,31,4,5,0
2018,3,31,4,5,0
2018,3,31,4,5,0
2018,3,31,4,5,0
2018,3,31,4,5.5,1
2018,3,33,2,2.5,1
2018,3,33,2,3,0
2018,3,33,2,3.5,1
2018,3,33,2,4,0
2018,3,33,2,4,0
2018,3,35,3,2.5,1
2018,3,35,3,3.5,1
2018,3,35,3,4,0
2018,3,35,3,4,0
2018,3,35,3,4.5,1
2018,3,35,3,5,0
